epoch,trainloss,validloss,validacc
1,2.16284,1.68811,0.41965
2,1.58056,1.31879,0.55511
3,1.34696,1.05273,0.65598
4,1.18941,0.91073,0.71019
5,1.08288,0.80201,0.74154
6,1.00898,0.73073,0.76597
7,0.94549,0.66475,0.78659
8,0.89302,0.61156,0.80441
9,0.85082,0.58876,0.80945
10,0.81731,0.55287,0.82336
11,0.78841,0.53377,0.82892
12,0.76583,0.50911,0.83796
13,0.74528,0.50409,0.83888
14,0.72648,0.48958,0.84432
15,0.71255,0.47298,0.85011
16,0.69843,0.46636,0.85254
17,0.68404,0.45128,0.85675
18,0.6718,0.45284,0.85685
19,0.66093,0.44002,0.86062
20,0.64797,0.43095,0.86514
21,0.64386,0.43145,0.86314
22,0.63542,0.41773,0.86656
23,0.62754,0.42879,0.86407
24,0.62105,0.42099,0.86724
25,0.60854,0.42092,0.86746
26,0.6085,0.40821,0.87173
27,0.59754,0.41258,0.87103
28,0.59283,0.40322,0.87335
29,0.58871,0.39334,0.87435
30,0.5848,0.39603,0.87465
31,0.57933,0.38749,0.87819
32,0.57692,0.40029,0.87413
33,0.56774,0.39193,0.87567
34,0.56496,0.38482,0.87919
35,0.56447,0.38311,0.88069
36,0.55698,0.3846,0.87984
37,0.55277,0.38534,0.88029
38,0.54967,0.37012,0.88294
39,0.54703,0.37256,0.88344
40,0.54307,0.37058,0.88289
41,0.54094,0.36825,0.88543
42,0.53746,0.38151,0.88114
43,0.53529,0.36588,0.88411
44,0.53223,0.36574,0.88473
45,0.52882,0.3677,0.88468
46,0.52583,0.36628,0.88364
47,0.52369,0.36303,0.88508
48,0.5215,0.36615,0.88419
49,0.51636,0.36265,0.88661
50,0.51577,0.35665,0.88721
51,0.5133,0.35544,0.88773
52,0.51186,0.35662,0.88775
53,0.50835,0.34709,0.89162
54,0.50857,0.34803,0.89043
55,0.50462,0.35527,0.88903
56,0.50361,0.34824,0.89182
57,0.50034,0.34923,0.89015
58,0.49507,0.35133,0.88918
59,0.49827,0.34789,0.8911
60,0.49125,0.33912,0.89454
61,0.49211,0.34274,0.89247
62,0.48994,0.3402,0.89285
63,0.48872,0.33792,0.89454
64,0.48965,0.33693,0.89452
65,0.48468,0.33662,0.89519
66,0.48378,0.33727,0.89444
67,0.48384,0.34108,0.8932
68,0.47971,0.3293,0.89607
69,0.47898,0.32792,0.89567
70,0.47795,0.3397,0.89312
71,0.47853,0.33001,0.89447
72,0.47487,0.33047,0.89479
73,0.47494,0.33025,0.89599
74,0.47405,0.32999,0.89587
75,0.46724,0.32849,0.89709
76,0.46916,0.32624,0.89544
77,0.46963,0.3321,0.89472
78,0.46873,0.32337,0.89854
79,0.46413,0.33277,0.89499
80,0.46446,0.32281,0.89886
81,0.46431,0.33066,0.89564
82,0.46223,0.32434,0.89811
83,0.46649,0.32848,0.89699
84,0.4605,0.33202,0.89604
85,0.45842,0.32798,0.89664
86,0.45679,0.31824,0.89971
87,0.45665,0.32208,0.90011
88,0.45526,0.32012,0.89949
89,0.45393,0.32036,0.90028
90,0.45412,0.32164,0.89924
91,0.45306,0.3173,0.89979
92,0.45142,0.31981,0.90073
93,0.44891,0.32485,0.89826
94,0.45122,0.31861,0.89969
95,0.4505,0.31954,0.89869
96,0.4482,0.32047,0.90033
97,0.44261,0.31834,0.89974
98,0.4459,0.3169,0.90023
99,0.44615,0.31131,0.90278
100,0.44242,0.319,0.90118
101,0.4426,0.31912,0.90001
102,0.44264,0.3133,0.90073
103,0.44007,0.31766,0.90113
104,0.43993,0.31063,0.90261
105,0.43943,0.31534,0.90213
106,0.43803,0.31588,0.90141
107,0.4411,0.31433,0.90111
108,0.44107,0.31291,0.90228
109,0.43699,0.31305,0.90166
110,0.43508,0.31337,0.90286
111,0.43293,0.30869,0.90256
112,0.43454,0.30951,0.9042
113,0.43396,0.3109,0.90243
114,0.43297,0.31832,0.90071
115,0.42986,0.30766,0.90335
116,0.43265,0.30796,0.90318
117,0.43154,0.30838,0.90545
118,0.42909,0.3155,0.90101
119,0.42771,0.31288,0.90126
120,0.427,0.31454,0.90198
121,0.42801,0.31202,0.90343
122,0.42915,0.31523,0.90206
123,0.42642,0.31041,0.90373
124,0.4256,0.31201,0.90271
125,0.42592,0.30665,0.9051
126,0.42516,0.30679,0.90525
127,0.42036,0.30971,0.90395
128,0.42075,0.30986,0.90368
129,0.42248,0.30357,0.90518
130,0.41989,0.31004,0.90415
131,0.41937,0.30981,0.90388
132,0.41943,0.3101,0.90333
133,0.41931,0.30486,0.9055
134,0.41819,0.3104,0.9032
135,0.42145,0.30587,0.90498
136,0.41602,0.31476,0.90251
137,0.42041,0.30633,0.90493
138,0.41619,0.30895,0.90423
139,0.41875,0.30469,0.90503
140,0.41685,0.30593,0.9039
141,0.41609,0.30126,0.90682
142,0.41707,0.29833,0.90695
143,0.41391,0.30248,0.90605
144,0.416,0.30571,0.90485
145,0.41386,0.29942,0.90642
146,0.41309,0.30976,0.9041
147,0.41118,0.30378,0.90543
148,0.41202,0.30589,0.90388
149,0.41122,0.30288,0.90553
150,0.4111,0.30043,0.90593
151,0.41215,0.30079,0.907
152,0.4093,0.30174,0.90555
153,0.4091,0.30223,0.90593
154,0.40727,0.30712,0.90483
155,0.40361,0.30153,0.90478
156,0.40875,0.29956,0.9073
157,0.40575,0.29844,0.90618
158,0.41143,0.30516,0.90535
159,0.40562,0.29913,0.90623
160,0.40593,0.30117,0.9056
161,0.40554,0.30226,0.90613
162,0.40336,0.30221,0.90598
163,0.40701,0.30097,0.90575
164,0.4074,0.2987,0.90685
165,0.40515,0.2983,0.90642
