epochs,trainloss,valloss,valacc
1,2.14205,1.53385,0.45947
2,1.41926,0.95383,0.68613
3,1.03388,0.64774,0.79116
4,0.81133,0.47797,0.84859
5,0.68407,0.41294,0.86896
6,0.60117,0.35721,0.8877
7,0.54479,0.32701,0.89647
8,0.49751,0.29118,0.90727
9,0.46143,0.27511,0.91244
10,0.43602,0.25795,0.91806
11,0.41201,0.25505,0.91883
12,0.39751,0.2382,0.92435
13,0.38045,0.23762,0.92507
14,0.36804,0.23198,0.92647
15,0.35744,0.2183,0.93026
16,0.34554,0.20895,0.93258
17,0.33726,0.20461,0.93421
18,0.32662,0.20568,0.93413
19,0.31919,0.20196,0.93555
20,0.31029,0.19564,0.9375
21,0.30177,0.20014,0.93573
22,0.29902,0.18433,0.94099
23,0.29258,0.18521,0.94119
24,0.28746,0.18052,0.94259
25,0.28193,0.18057,0.94314
26,0.27872,0.17055,0.94556
27,0.2757,0.17081,0.94541
28,0.26815,0.1695,0.94636
29,0.26606,0.16554,0.94706
30,0.26231,0.16797,0.94733
31,0.25763,0.16107,0.94938
32,0.25644,0.16092,0.94978
33,0.25236,0.16182,0.94911
34,0.24987,0.15759,0.95038
35,0.2436,0.16202,0.94973
36,0.24186,0.16097,0.94926
37,0.24105,0.15348,0.9529
38,0.23709,0.1533,0.9526
39,0.2363,0.15175,0.95288
40,0.23214,0.14628,0.9536
41,0.22924,0.14732,0.95402
42,0.22619,0.14233,0.9552
43,0.22639,0.14943,0.9534
44,0.22433,0.14463,0.95445
45,0.22112,0.14556,0.95447
46,0.21718,0.14348,0.95525
47,0.21732,0.14056,0.95677
48,0.21734,0.13803,0.95669
49,0.21491,0.13936,0.95642
50,0.21208,0.13852,0.95747
51,0.21059,0.13842,0.95699
52,0.2097,0.13612,0.95767
53,0.20871,0.1387,0.95717
54,0.2033,0.13494,0.95817
55,0.20362,0.13394,0.95784
56,0.20154,0.13321,0.95899
57,0.19943,0.13344,0.95824
58,0.19961,0.13434,0.95817
59,0.19829,0.13057,0.95959
60,0.19824,0.1311,0.95917
61,0.19656,0.1282,0.96014
62,0.19491,0.12824,0.96019
63,0.1942,0.12815,0.95959
64,0.19366,0.12533,0.96079
65,0.19294,0.1297,0.96019
66,0.19058,0.13028,0.95981
67,0.19003,0.12667,0.96021
68,0.1874,0.12722,0.96049
69,0.18611,0.12514,0.96054
70,0.18471,0.12495,0.96106
71,0.18107,0.12408,0.96096
72,0.18381,0.12686,0.96109
73,0.18353,0.12531,0.96084
74,0.18302,0.12097,0.96229
75,0.17935,0.12433,0.96166
76,0.17934,0.12862,0.95969
77,0.17842,0.12354,0.96119
78,0.17678,0.12356,0.96139
79,0.17674,0.12159,0.96209
80,0.17601,0.12379,0.96171
81,0.17608,0.12181,0.96236
82,0.17649,0.12066,0.96244
83,0.17289,0.12106,0.96196
84,0.17411,0.11868,0.96308
85,0.17121,0.12015,0.96261
86,0.17329,0.12207,0.96268
87,0.17158,0.1227,0.96129
88,0.16988,0.11818,0.96256
89,0.16811,0.11959,0.96266
90,0.16973,0.12018,0.96338
91,0.16772,0.1228,0.96186
92,0.16539,0.12157,0.96246
93,0.16565,0.11833,0.96326
94,0.16626,0.12033,0.96201
95,0.16544,0.118,0.96383
96,0.16573,0.11859,0.96388
97,0.16302,0.11826,0.96311
98,0.16196,0.11735,0.96333
99,0.16247,0.11961,0.96253
100,0.16505,0.11764,0.96336
101,0.16093,0.12336,0.96144
102,0.16171,0.12101,0.96266
103,0.15903,0.11805,0.96276
104,0.16014,0.11711,0.96413
105,0.15965,0.11558,0.96398
106,0.16056,0.12069,0.96266
107,0.15756,0.11666,0.96426
108,0.15733,0.11394,0.96428
