  epoch    train loss    valid loss    train/val    valid acc  dur
-------  ------------  ------------  -----------  -----------  ------
      1       2.14205       1.53385      1.39652      0.45947  97.13s
      2       1.41926       0.95383      1.48796      0.68613  97.32s
      3       1.03388       0.64774      1.59614      0.79116  97.52s
      4       0.81133       0.47797      1.69746      0.84859  96.80s
      5       0.68407       0.41294      1.65658      0.86896  96.78s
      6       0.60117       0.35721      1.68297      0.88770  96.75s
      7       0.54479       0.32701      1.66595      0.89647  96.73s
      8       0.49751       0.29118      1.70862      0.90727  96.73s
      9       0.46143       0.27511      1.67726      0.91244  96.72s
     10       0.43602       0.25795      1.69031      0.91806  96.71s
     11       0.41201       0.25505      1.61538      0.91883  96.73s
     12       0.39751       0.23820      1.66881      0.92435  96.76s
     13       0.38045       0.23762      1.60108      0.92507  96.69s
     14       0.36804       0.23198      1.58648      0.92647  96.68s
     15       0.35744       0.21830      1.63738      0.93026  96.68s
     16       0.34554       0.20895      1.65371      0.93258  96.68s
     17       0.33726       0.20461      1.64829      0.93421  96.69s
     18       0.32662       0.20568      1.58800      0.93413  96.69s
     19       0.31919       0.20196      1.58048      0.93555  96.67s
     20       0.31029       0.19564      1.58607      0.93750  96.67s
     21       0.30177       0.20014      1.50785      0.93573  96.67s
     22       0.29902       0.18433      1.62217      0.94099  96.67s
     23       0.29258       0.18521      1.57972      0.94119  96.67s
     24       0.28746       0.18052      1.59239      0.94259  96.67s
     25       0.28193       0.18057      1.56134      0.94314  96.67s
     26       0.27872       0.17055      1.63421      0.94556  96.68s
     27       0.27570       0.17081      1.61413      0.94541  96.79s
     28       0.26815       0.16950      1.58201      0.94636  97.15s
     29       0.26606       0.16554      1.60727      0.94706  97.05s
     30       0.26231       0.16797      1.56161      0.94733  96.77s
     31       0.25763       0.16107      1.59950      0.94938  96.91s
     32       0.25644       0.16092      1.59357      0.94978  97.12s
     33       0.25236       0.16182      1.55953      0.94911  97.16s
     34       0.24987       0.15759      1.58564      0.95038  97.12s
     35       0.24360       0.16202      1.50350      0.94973  96.79s
     36       0.24186       0.16097      1.50258      0.94926  98.05s
     37       0.24105       0.15348      1.57060      0.95290  96.30s
     38       0.23709       0.15330      1.54663      0.95260  96.38s
     39       0.23630       0.15175      1.55721      0.95288  96.64s
     40       0.23214       0.14628      1.58696      0.95360  96.49s
     41       0.22924       0.14732      1.55607      0.95402  96.37s
     42       0.22619       0.14233      1.58921      0.95520  96.28s
     43       0.22639       0.14943      1.51496      0.95340  96.49s
     44       0.22433       0.14463      1.55110      0.95445  96.29s
     45       0.22112       0.14556      1.51908      0.95447  96.62s
     46       0.21718       0.14348      1.51362      0.95525  96.35s
     47       0.21732       0.14056      1.54605      0.95677  96.66s
     48       0.21734       0.13803      1.57458      0.95669  96.75s
     49       0.21491       0.13936      1.54214      0.95642  96.39s
     50       0.21208       0.13852      1.53103      0.95747  96.59s
     51       0.21059       0.13842      1.52141      0.95699  96.15s
     52       0.20970       0.13612      1.54053      0.95767  96.11s
     53       0.20871       0.13870      1.50475      0.95717  96.06s
     54       0.20330       0.13494      1.50661      0.95817  96.11s
     55       0.20362       0.13394      1.52021      0.95784  96.10s
     56       0.20154       0.13321      1.51289      0.95899  96.08s
     57       0.19943       0.13344      1.49457      0.95824  96.05s
     58       0.19961       0.13434      1.48584      0.95817  96.04s
     59       0.19829       0.13057      1.51866      0.95959  96.13s
     60       0.19824       0.13110      1.51216      0.95917  95.99s
     61       0.19656       0.12820      1.53321      0.96014  96.08s
     62       0.19491       0.12824      1.51985      0.96019  96.04s
     63       0.19420       0.12815      1.51538      0.95959  96.06s
     64       0.19366       0.12533      1.54515      0.96079  96.12s
     65       0.19294       0.12970      1.48757      0.96019  96.01s
     66       0.19058       0.13028      1.46288      0.95981  96.04s
     67       0.19003       0.12667      1.50016      0.96021  96.04s
     68       0.18740       0.12722      1.47299      0.96049  96.03s
     69       0.18611       0.12514      1.48717      0.96054  96.16s
     70       0.18471       0.12495      1.47826      0.96106  96.08s
     71       0.18107       0.12408      1.45928      0.96096  96.03s
     72       0.18381       0.12686      1.44900      0.96109  96.00s
     73       0.18353       0.12531      1.46454      0.96084  96.02s
     74       0.18302       0.12097      1.51292      0.96229  96.01s
     75       0.17935       0.12433      1.44253      0.96166  96.11s
     76       0.17934       0.12862      1.39432      0.95969  96.07s
     77       0.17842       0.12354      1.44427      0.96119  96.01s
     78       0.17678       0.12356      1.43076      0.96139  96.14s
     79       0.17674       0.12159      1.45361      0.96209  96.01s
     80       0.17601       0.12379      1.42181      0.96171  96.11s
     81       0.17608       0.12181      1.44553      0.96236  96.07s
     82       0.17649       0.12066      1.46271      0.96244  96.08s
     83       0.17289       0.12106      1.42818      0.96196  96.01s
     84       0.17411       0.11868      1.46704      0.96308  96.11s
     85       0.17121       0.12015      1.42497      0.96261  96.14s
     86       0.17329       0.12207      1.41957      0.96268  96.32s
     87       0.17158       0.12270      1.39836      0.96129  96.28s
     88       0.16988       0.11818      1.43750      0.96256  96.05s
     89       0.16811       0.11959      1.40577      0.96266  96.14s
     90       0.16973       0.12018      1.41231      0.96338  96.06s
     91       0.16772       0.12280      1.36574      0.96186  96.06s
     92       0.16539       0.12157      1.36047      0.96246  96.10s
     93       0.16565       0.11833      1.39993      0.96326  96.28s
     94       0.16626       0.12033      1.38174      0.96201  96.61s
     95       0.16544       0.11800      1.40200      0.96383  96.93s
     96       0.16573       0.11859      1.39755      0.96388  96.44s
     97       0.16302       0.11826      1.37853      0.96311  96.10s
     98       0.16196       0.11735      1.38023      0.96333  96.06s
     99       0.16247       0.11961      1.35836      0.96253  96.09s
    100       0.16505       0.11764      1.40298      0.96336  96.30s
    101       0.16093       0.12336      1.30452      0.96144  96.17s
    102       0.16171       0.12101      1.33625      0.96266  96.12s
    103       0.15903       0.11805      1.34713      0.96276  96.04s
    104       0.16014       0.11711      1.36748      0.96413  96.13s
    105       0.15965       0.11558      1.38134      0.96398  96.00s
    106       0.16056       0.12069      1.33034      0.96266  96.01s
    107       0.15756       0.11666      1.35065      0.96426  96.05s
    108       0.15733       0.11394      1.38083      0.96428  96.08s
    109       0.15602       0.11632      1.34125      0.96411  96.05s
    110       0.15622       0.11361      1.37505      0.96453  96.02s
    111       0.15846       0.11558      1.37096      0.96378  96.10s
    112       0.15730       0.11950      1.31628      0.96313  96.11s
    113       0.15617       0.11420      1.36748      0.96473  96.01s
    114       0.15616       0.11795      1.32391      0.96376  96.19s
    115       0.15526       0.11888      1.30600      0.96403  96.12s
    116       0.15298       0.11258      1.35888      0.96565  96.15s
    117       0.15212       0.11073      1.37378      0.96603  96.10s
    118       0.15087       0.11287      1.33669      0.96570  96.09s
    119       0.15120       0.10961      1.37951      0.96643  96.06s
    120       0.15021       0.11555      1.29989      0.96438  96.05s
    121       0.14995       0.11025      1.36010      0.96610  95.99s
    122       0.15140       0.11343      1.33476      0.96518  96.12s
    123       0.14980       0.11472      1.30575      0.96428  96.05s
    124       0.15111       0.10983      1.37585      0.96613  96.27s
    125       0.14835       0.11568      1.28236      0.96406  96.12s
    126       0.14989       0.11770      1.27345      0.96386  96.29s
    127       0.14923       0.11376      1.31179      0.96486  96.28s
    128       0.14906       0.11541      1.29152      0.96466  96.17s
    129       0.14547       0.11629      1.25095      0.96506  96.18s
    130       0.14698       0.11502      1.27790      0.96471  96.03s
    131       0.14740       0.11457      1.28651      0.96543  96.00s
    132       0.14695       0.11339      1.29598      0.96496  96.12s
    133       0.14727       0.10896      1.35159      0.96675  96.18s
    134       0.14520       0.11114      1.30652      0.96563  96.24s
    135       0.14730       0.11448      1.28667      0.96486  96.04s
    136       0.14454       0.11050      1.30808      0.96578  96.04s
    137       0.14493       0.11187      1.29552      0.96570  96.12s
    138       0.14343       0.11231      1.27718      0.96585  96.07s
    139       0.14292       0.11195      1.27664      0.96585  96.06s
    140       0.14245       0.11039      1.29045      0.96593  95.96s
    141       0.14322       0.11465      1.24923      0.96538  96.11s
